Cell Type,Gene Number,Network Type,AUPR,AUROC
hESC,500,STRING,0.3368836744406693,0.8608115007327511
hESC,500,Cellspecific,0.5865707663626304,0.8628055104740397
hESC,500,Nonspecific,0.20934870798684047,0.8596699349978645
hESC,1000,STRING,0.34985159689284445,0.8624464090383988
hESC,1000,Cellspecific,0.7543595615105062,0.9227964792874507
hESC,1000,Nonspecific,0.3222583467575957,0.9080294036389077
hHEP,500,STRING,0.39591681016482067,0.8799699126284926
hHEP,500,Cellspecific,0.6883291151123401,0.859556420515042
hHEP,500,Nonspecific,0.09106784794611995,0.8592483100680663
hHEP,1000,STRING,0.3289824952040482,0.8448810067509469
hHEP,1000,Cellspecific,0.736108300237943,0.886678397076001
hHEP,1000,Nonspecific,0.1805433622017129,0.8791184198547144
mESC,500,STRING,0.24472173542943543,0.8608739283965243
mESC,500,Cellspecific,0.6555553873981059,0.8048836268381935
mESC,500,Nonspecific,0.17034084773559657,0.8354014195681997
mESC,500,LOFGOF,0.7526849149409943,0.9110763188010742
mESC,1000,STRING,0.2740313871216625,0.8580727859592194
mESC,1000,Cellspecific,0.7151535168933008,0.827811917419293
mESC,1000,Nonspecific,0.131650045265699,0.8052650204568446
mESC,1000,LOFGOF,0.8150738774836291,0.9435023909238064
mDC,500,STRING,0.3872993297145112,0.8532061838569559
mDC,500,Cellspecific,0.6209039820198688,0.8831491821327462
mDC,500,Nonspecific,0.14704690556036404,0.8471055837904558
mDC,1000,STRING,0.4581430490563723,0.8872206757867835
mDC,1000,Cellspecific,0.6269785183158694,0.9225756120026363
mDC,1000,Nonspecific,0.24823808622249402,0.8725673987352878
